LocationID,SessionID,GroupID,RecordID,Language,Lockdown,start_time,end_time,latitude,longitude,Traffic,Other,Human,Natural,ISOPleasant,ISOEventful,pleasant,chaotic,vibrant,uneventful,calm,annoying,eventful,monotonous,Overall,Appropriate,loud,sss04,sss05,who01,who02,who03,who04,who05,WHO_Sum,Age,Gender,occ00___Employed,occ00___Unemployed,occ00___Retired,occ00___Student,occ00___Other,occ00___RatherNotSay,occ00_other,Occupation,edu00,eth00,eth00_other,misc00,misc03,misc03_other,misc04,misc01,use00,uni00,res00___1,res00___2,res00___3,res00___4,res00___5,res02,paper,RecordingLength,Loudness_N5(soneGF),N10_N90(soneGF),Sharpness_S(acum),Rough_HM_R(asper),"Rough_HM_Avg,arith(asper)","FS_Avg,arith(vacil)","I_HM_Avg,arith(iu)","Ton_HM_Avg,arith(tuHMS)",LZeq_L(dB(SPL)),LAeq_L(A)(dB(SPL)),LA10_LA90(dB(SPL)),LCeq_LAeq(dB(SPL)),LC10_LC90(dB(SPL)),RA_2D_cp(cPa),PA(Zwicker)
SanMarco,SanMarco3,SM303,54,Italian,0,03/03/2019 14:55,03/03/2019 15:05,45.433663,12.339658,2,1,4,2,-0.4268,0.5303,2,5,2,2,2,4,5,2,3,4,3,3,3,4,4,4,1,3,64,,Female,0,0,0,1,0,0,,Student,3,1,,Universita di Padova,,Vistatore,,,1,3,1,1,0,0,0,,1,34.6,33.7,6.5,2.15,0.0453,0.0453,0.0205,0.345,0.654,78.43,73.96,4.67,4.12,4.52,13.9,39.26494164
SanMarco,SanMarco3,SM303,56,Italian,0,03/03/2019 14:56,03/03/2019 15:06,45.433663,12.339658,1,2,4,1,0.0303,0.5732,3,4,4,2,1,2,4,2,3,4,4,3,5,3,2,3,4,4,64,,Female,0,0,0,1,0,0,,Student,3,1,,Universita di Padova,,,,,1,3,1,1,0,0,0,,1,34.6,33.7,6.5,2.15,0.0453,0.0453,0.0205,0.345,0.654,78.43,73.96,4.67,4.12,4.52,13.9,39.26494164
SanMarco,SanMarco3,SM304,58,Italian,0,03/03/2019 15:05,03/03/2019 15:15,45.433663,12.339658,2,1,5,1,0.0303,0.9268,2,5,4,1,1,1,5,1,4,4,3,1,3,3,3,3,1,5,60,,Female,1,0,0,0,0,0,,Employed,1,1,,,,,,,2,2,1,1,0,0,0,,1,38.53,34.2,7.7,2.23,0.0436,0.0436,0.036,0.377,0.501,76.91,74.13,5.36,2.55,3.88,14.9,40.99282044
SanMarco,SanMarco3,SM304,57,Italian,0,03/03/2019 15:05,03/03/2019 15:15,45.433663,12.339658,1,1,5,2,0.2071,0.8536,3,4,4,1,1,1,5,1,4,4,4,2,4,4,3,4,2,3,64,,Male,1,0,0,0,0,0,,Employed,1,1,,,,,,It's rare that the noise from people is louder than traffic and other kinds of noises,2,2,1,1,0,0,0,,1,38.53,34.2,7.7,2.23,0.0436,0.0436,0.036,0.377,0.501,76.91,74.13,5.36,2.55,3.88,14.9,40.99282044
SanMarco,SanMarco3,SM305,100,English,0,03/03/2019 15:09,03/03/2019 15:19,45.433663,12.339658,4,1,5,2,-0.2803,0.341,2,4,4,1,4,4,5,5,5,2,5,1,3,4,4,4,3,3,72,,Female,0,0,0,1,0,0,,Student,2,1,,Florida Atlantic FAU,2,,,,4,3,1,1,0,0,0,,1,31.83,32.9,7.7,2.25,0.0458,0.0458,0.0308,0.387,0.417,76.22,73.3,4.79,2.53,3.98,14.7,39.65047549
SanMarco,SanMarco3,SM305,101,English,0,03/03/2019 15:09,03/03/2019 15:19,45.433663,12.339658,1,2,5,1,0,1,4,5,5,1,1,4,5,1,4,5,5,3,3,4,3,4,4,4,76,,Female,1,0,0,0,0,0,,Employed,2,1,,,2,,,,4,3,1,1,0,0,0,,1,31.83,32.9,7.7,2.25,0.0458,0.0458,0.0308,0.387,0.417,76.22,73.3,4.79,2.53,3.98,14.7,39.65047549
SanMarco,SanMarco3,SM306,60,Italian,0,03/03/2019 15:16,03/03/2019 15:26,45.433663,12.339658,1,1,5,1,0.1036,0.3964,3,4,4,3,2,2,4,2,4,4,4,4,3,2,2,3,2,1,40,,Female,0,1,0,0,0,0,,Unemployed,2,1,,,,,,Today is a particular day here,3,2,1,1,0,0,0,,1,38.78,40.8,12.1,2.39,0.0468,0.0468,0.0391,0.374,0.586,78.15,76.46,7.03,1.41,5.7,15.1,51.97076272
SanMarco,SanMarco3,SM306,59,Italian,0,03/03/2019 15:16,03/03/2019 15:26,45.433663,12.339658,1,1,2,2,-0.0732,0.9268,3,5,5,1,1,3,5,2,2,4,4,2,3,3,1,2,1,3,40,,Male,1,0,0,0,0,0,,Employed,1,1,,Universita ca Foscari,,,,,3,2,1,1,0,0,0,,1,38.78,40.8,12.1,2.39,0.0468,0.0468,0.0391,0.374,0.586,78.15,76.46,7.03,1.41,5.7,15.1,51.97076272
SanMarco,SanMarco3,SM307,61,Italian,0,03/03/2019 15:28,03/03/2019 15:38,45.433663,12.339658,1,3,3,2,0.2803,0.4268,3,2,3,2,1,1,4,1,4,5,3,3,2,1,2,2,0,2,28,,Female,0,0,0,1,0,0,,Student,5,4,,,,,,,1,2,1,1,0,0,0,,1,43.14,35.8,10,2.24,0.0508,0.0508,0.0312,0.409,0.367,77.09,74.16,6.71,2.69,5.59,14.7,43.12768064
SanMarco,SanMarco3,SM307,62,Italian,0,03/03/2019 15:28,03/03/2019 15:38,45.433663,12.339658,1,2,4,3,-0.3232,0.2374,3,4,3,1,,4,4,5,2,4,4,4,4,1,1,0,0,3,20,,Female,0,0,0,1,0,0,,Student,5,1,,,,,,,1,2,1,1,0,0,0,,1,43.14,35.8,10,2.24,0.0508,0.0508,0.0312,0.409,0.367,77.09,74.16,6.71,2.69,5.59,14.7,43.12768064
SanMarco,SanMarco3,SM308,63,Italian,0,03/03/2019 15:38,03/03/2019 15:48,45.433663,12.339658,1,2,5,4,0.3839,0.5303,4,2,3,1,1,1,4,1,4,5,3,1,4,3,2,3,2,3,52,,Female,0,0,0,1,0,0,,Student,3,1,,Universita Degli stui di Urbino,,,,,1,3,1,1,0,0,0,,1,40.58,31.9,6.6,2.12,0.0451,0.0451,0.0229,0.371,0.336,76.51,72.67,4.84,3.67,3.76,15,36.72809242
